,title,synopsis,category
0,보호자, 살면서 내가 선택했던 모든 것을 다 후회했어      년 만에 출소한  수혁  정우성 은 자신에게 딸이 있다는 사실을 알게 되고 조직을 떠나 평범하게 살기로 결심한다   수혁 의 출소를 기다리던 보스  응국  박성웅 은  수혁 에게 배신감을 느끼고 자신의 오른팔이자 조직의  인자  성준  김준한 에게 그를 감시하라 지시한다   수혁 에 대한 열등감으로 가득 찬  성준 은 일명 세탁기라 불리는  인조 해결사  우진  김남길 과  진아  박유나 에게  수혁 을 제거할 것을 의뢰하고 자신들의 방식대로 무자비하게 타겟을 처리하는 이들은  수혁 을 죽이기 위해 접근하는데    평범한 삶  가장 위험한 꿈이 되었다,action
1,버킷 리스트 - 죽기 전에 꼭 하고 싶은 것들,자동차 정비사 카터 모건 프리먼 는 대학 신입생 시절  철학교수가 과제로 내주었던  버킷 리스트 를 떠올린다  하지만   년이 지난 지금  죽기 전에 꼭 하고 싶은 일들을 적어보는  버킷 리스트 는 잃어버린 꿈이 남긴 쓸쓸한 추억에 불과하다  재벌 사업가 에드워드 잭 니콜슨 는 돈 안 되는  리스트  따위에는 관심 없다  기껏해야 최고급 커피 맛보는 것 외에 자신이 원하는 게 무엇인지 생각할 수도 없다  우연  같은 병실을 쓰게 된 두 남자는 너무나 다른 서로에게서 너무나 중요한 공통점을 발견하게 된다   나는 누구인가 를 정리할 필요가 있다는 것  얼마 남지 않은 시간 동안  하고 싶던 일 을 다 해야겠다는 것   버킷 리스트 를 실행하기 위해 두 사람은 병원을 뛰쳐나가 여행길에 오른다   세렝게티에서 사냥하기  문신하기  카레이싱과 스카이 다이빙  눈물 날 때까지 웃어 보기  가장 아름다운 소녀와 키스하기  화장한 재를 깡통에 담아 경관 좋은 곳에 두기    목록을 지워나가기도 하고 더해 가기도 하면서 두 사람은 많은 것을 나누게 된다  인생의 기쁨  삶의 의미  웃음  통찰  감동  우정까지  ,action
2,명량,    년 임진왜란  년  오랜 전쟁으로 인해 혼란이 극에 달한 조선  무서운 속도로 한양으로 북상하는 왜군에 의해 국가존망의 위기에 처하자 누명을 쓰고 파면 당했던 이순신 장군 최민식 이 삼도수군통제사로 재임명된다   하지만 그에게 남은 건 전의를 상실한 병사와 두려움에 가득 찬 백성  그리고   척의 배 뿐  마지막 희망이었던 거북선마저 불타고 잔혹한 성격과 뛰어난 지략을 지닌 용병 구루지마 류승룡 가 왜군 수장으로 나서자 조선은 더욱 술렁인다      척에 달하는 왜군의 배가 속속 집결하고 압도적인 수의 열세에 모두가 패배를 직감하는 순간  이순신 장군은 단   척의 배를 이끌고 명량 바다를 향해 나서는데      척의 조선       척의 왜군 역사를 바꾼 위대한 전쟁이 시작된다 ,action
3,공조2: 인터내셔날,공조 이즈 백  이번엔 삼각 공조다   남한으로 숨어든 글로벌 범죄 조직을 잡기 위해 새로운 공조 수사에 투입된 북한 형사  림철령  현빈   수사 중의 실수로 사이버수사대로 전출됐던 남한 형사  강진태  유해진 는 광수대 복귀를 위해 모두가 기피하는  철령 의 파트너를 자청한다   이렇게 다시 공조하게 된  철령 과  진태    철령 과 재회한  민영  임윤아 의 마음도 불타오르는 가운데   철령 과  진태 는 여전  서로의 속내를 의심하면서도 나름 그럴싸한 공조 수사를 펼친다  드디어 범죄 조직 리더인  장명준  진선규 의 은신처를 찾아내려는 찰나  미국에서 날아온     소속  잭  다니엘 헤니 이 그들 앞에 나타나는데    아직도 짠내 나는 남한 형사  여전한 엘리트 북한 형사  그리고     소속 해외파 형사까지  각자의 목적으로 뭉친 그들의 짜릿한 공조 수사가 시작된다 ,action
4,쓰리 빌보드,범인을 잡지 못한 딸의 살인 사건에 세상의 관심이 사라지자  엄마  밀드레드  프란시스 맥도맨드 는 아무도 사용하지 않는 마을 외곽 대형 광고판에 도발적인 세 줄의 광고를 실어 메시지를 전한다  광고가 세간의 주목을 끌며 마을의 존경 받는 경찰서장  윌러비  우디 헤럴슨 와 경찰관  딕슨 은 무능한 경찰로 낙인찍 고  조용한 마을의 평화를 바라는 이웃 주민들은 경찰의 편에 서서 그녀와 맞서기 시작하는데 ,action
5,7인의 사무라이, 때는 전국시대  끊이지 않는 전란    이 만들어낸  노부시       산적 무리 의 횡포에 백성들이 떨고있던 그때    주민들은 황폐한 땅에서 어렵게 수확한 식량으로 한해 한해를 넘기는 빈촌에 살고 있다  이 빈촌엔 보리 수확이 끝날 무렵이면 어김없이 산적들이 찾아와 모든 식량을 모조리 약탈해 간다  싸워도 애원해도 소용이 없었다  가만  있을 수만은 없던 촌장의 결단으로 사무라이들을 모집하는데  이들은 풍부한 전쟁 경험을 가진 감병위     를 포함한  명이었다  감병위의 지휘하에 마을은 방위태세를 갖추고 전투훈련도 시작한다  이윽고 산적들의 공격이 시작되어 치열한 사투가 벌어지고 산적들은 전멸한다  하지만 마을사람들 다수와  명 중  명의 사무라이도 목숨을 잃는다  마을엔 평화가 찾아오고 주민들은 벼농사에 여념이 없다  노동요를 부르는 백성들을 보면서 감병위는 이렇게 말한다   또   살아남았구나   이번도 또  진 싸움이였구나   이긴 것은 저 농부들이다  우리들이 아니야 ,action
6,분노의 질주: 라이드 오어 다이(세트: 분노의 질주 1~10편),돔 빈 디젤 과 그의 패밀리 앞에 나타난 운명의 적 단테 제이슨 모모아   과거의 그림자는 돔의 모든 것을 파괴하기 위해 달려온다  단테에 의해 산산  흩어진 패밀리들은 모두 목숨을 걸고 맞서야 하는 함정에 빠지고 마는데   달리거나 죽거나  그들의 마지막 질주가 시작된다 ,action
7,인셉션,드림머신이라는 기계로 타인의 꿈과 접속해 생각을 빼낼 수 있는 미래사회  돔 코브  레오나르도 디카프리오 는 생각을 지키는 특수보안요원이면서 또한 최고의 실력으로 생각을 훔치는 도둑이다  우연한 사고로 국제적인 수배자가 된 그는 기업간의 전쟁 덕에 모든 것을 되찾을 수 있는 기회를 얻게 된다  하지만 임무는 머릿속의 정보를 훔쳐내는 것이 아니라  반대로 머릿속에 정보를 입력시켜야 하는 것  그는  인셉션 이라 불리는 이 작전을 성공시키기 위해 최강의 팀을 조직한다  불가능에 가까운 게임  하지만 반드시 이겨야만 한다 ,action
8,블랙 아담(부가영상 제공),기원전 가장 번성하고 위대한 고대 국가였지만 현재는 국제 군사 조직 인터갱의 독재 국가로 전락한 칸다크  인터갱의 눈을 피해 고대 유물을 찾던  아드리아나 는 우연      년 동안 잠들어 있던  블랙 아담 을 깨우게 된다   엄청난 괴력과 스피드  방탄 능력과 자유자재의 고공비행  번개를 쏘는 능력까지  온몸이 무기인  블랙 아담 은 자신의 앞을 막아서는 인터갱들을 모조리 쓸어버리고 칸다크 국민들은 이에 열광한다  한편  그의 폭주를 막기 위해 호크맨  닥터 페이트  아톰 스매셔  사이클론으로 구성된  어로 군단  저스티스 소사이어티 가 칸다크에 나타나는데     세상을 구할 것인가  파괴할 것인가 사람들이 열광할 문제적  어로가 온다 ,action
9,반지의 제왕 3 - 왕의 귀환(FHD),절대반지의 영원한 파괴를 위해   프로도 와 그의 친구들  엘프족  레골라스   난쟁이족  김리   두 명의 인간전사  아라곤 과  보로미르   그리고 마법사  간달프    등   명으로 이뤄진  반지원정대 가  불의 산 을 향하게 되고  그들은  사우론 의 사악한 세력에 맞서려 한다  그러나 이들은 다시 뿔뿔이 흩어지게 되고  암흑세계의 두 개의 탑을 통합하여 그 세력을 확장하고 있는  사우론 은 서서  중간대륙을 거대한 전쟁의 소용돌이로 몰아가며  로한왕국 을 향해 진격을 시작한다  이에  아라곤 은 자유종족들을 통합하여  사우론 에게 정면 대항하게 되는데       사우론 의 군대는 인간 종족을 멸망시키기 위해  마지막으로 곤도르 왕국의 수도인  미나스 티리스 를 공격한다  과거의 위대함은 사라진 채 그 명맥만을 유지해오던 곤도르 왕국은 이제 그 어느 때보다도 왕이 절실하다  하지만   아라곤 이 왕위를 계승하여 자신의 운명을 마주 할 수 있을 것인가  전투에 앞서   간달프 는 필사적으로 흩어진 곤도르의 병력을 수습하고   세오덴 은 로한의 전사들을 규합한다  용기와 충성심에 불타 있기는 하지만  인간의 군대는 곤도르로 빽빽이 몰려드는 적들에게 적수가 되지 못한다  승리의 순간에도 희생이 따르고  많은 이들을 잃어가면서도  원정대는  사우론 의 주의를 딴 곳으로 돌려  프로도 가 임무를 달성할 수 있게 돕는다는 하나의 목표 아래  그들 생애 가장 큰 전투를 치러 나간다  한편   프로도 는 위험한 적의 땅을 가로질러 가면서  반지가 끊임없이 그의 의지와 인간성을 시험하자 점점 더  샘 과  골룸 에게 의지하게 되는데 ,action
