,title,synopsis,category
0,몬스터 패밀리 2,몬스터에서 인간으로 겨우 돌아온  위시본  패밀리  새 가족이 된 전설 속 몬스터  바바 야가 와  렌필드 의 결혼식 날  그들은 슈퍼 소녀  밀라 에게 납치당한다  이들뿐 아니라 드라큘라  예티  네시  그리고 킹 콩가까지    위시본  패밀리는  밀라 에 의해 전 세계 몬스터들이 납치된 것을 알게 되는데  몬스터들을 구하기 위해 다시 몬스터로 변한  위시본  패밀리  과연  위시본  가족은 몬스터들을 구하고 다시 인간으로 돌아갈 수 있을까 ,comedy
1,이마 베프,점차 쇠락해가는 프랑스 영화 감독  르네 비달 은 고전 명작  뱀파이어 를 리메이크하려는 계획을 세우고 홍콩 여배우  장만옥 을 뱀파이어 집단의 우두머리  이마 베프 역으로 캐스팅한다   그러나 파리에 도착한 그녀를 기다리는 건 창작의 활기가 사라진 썰렁한 현장과 불편한 의상  그리고 지친 기색을 감추지 않는 감독뿐   결국 막다른 골목에 놓인  이마 베프 는 완성을 눈 앞에 두고 길을 잃게 되는데 ,comedy
2,월레스와 그로밋 - 거대 토끼의 저주,최강 콤비  월래스 그로밋  사건이 있는 곳이라면 언제든지 달려간다  곧 있으면 열릴  슈퍼 야채 선발대회 로 인해 마을 전체가 축제 분위기에 휩싸인 가운데  어느 날 밤  누군가 나타나 마을의 야채 전부를 먹어 치우는 일대사건이 발생한다  무시무시한 침입자의 흔적으로 인해 마을은 공포에 휩싸이고 최첨단 발명품으로 무장한 특수 요원 월래스와 그로밋은 즉각 수사에 착수한다  그들은 끈질긴 추적 끝에 범인이  거대 토끼 란 사실을 밝혀내는데    과연 최강 콤비 월래스와 그로밋은 이 엄청난 놈을 체포할 수 있을 것인가  그리고 밤만 되면 나타나는 거대 토끼의 정체는 무엇인가 ,comedy
3,슈렉 3,마침내 평온을 되찾은  겁나먼 왕국   이제 자신들의 늪에 돌아가 둘만의 달콤한 생활을 꿈꾸던 슈렉과 피오나에게 엄청난 태클이 들어온다  피오나의 아버지 해롤드 왕이 위독해져 슈렉과 피오나가 왕위를 계승해야 하는 상황이 벌어진 것  해롤드 왕은 슈렉에게 왕위 계승 다음 서열인 피오나의 먼 친척  아더 왕자 를 찾아오면 늪으로 돌아가도 좋다는 타협책을 내놓는다  슈렉은 동키  장화 신은 고양이와 함께 아더 왕자를 찾기 위한 머나먼 여정에 나서고   한편  슈렉이 없는 틈을  프린스 챠밍 은 동화속 악당을 모아 겁나먼 왕국을 차지하려는 음모를 꾸미고  왕국에 남아있는 피오나 등  공주 백설공주  신데렐라  잠자는 숲속의 공주  라푼첼 와 릴리안 왕비는  을 합쳐 프린스 챠밍에 맞서는데    모두가  이 되고자 하는 시대 에  스스로  을 포기하려는  슈렉  자신이 원하는 삶을 누리는  진정한   이 될 수 있을까 ,comedy
4,애들이 줄었어요,살린스키 교수를 존경하는 사람은 아무도 없다  이웃집 사람들은 그가 약간 돌았다고 여기고  아내도 계속되는 실험에 짜증을 낸다 동료들도 그가 발명한 전자 자기 축소기를 비웃는다  그런데 다락방에서 놀던 에이미  닉은 옆 친구 론과 꼬마 리스와 함께 우연한 실수로 아버지의 발명품에 의해    로 줄어든다  엎친데 덮친 격으로 이들은 아버지가 청소하는 사이에 쓰레기와 함께 버려진다  네 명의 꼬마들은 집으로 오려고 하지만 뒷마당은 이제 무시무시한 정글이 되어버렸다  이들은 개와 잔디깍는 기계를 피해 끝없는 모험을 하면서 천신만고 끝에 집에 온다  식사 중인 아버지의 식탁에까지 오른 이들은 겨우 아버지의 눈에 발견된다 그러나 이들을 정상적인 크기로 만들 수 잇는 전자 자기 축소기는 이미 고장이 나버렸다  밤을 새워 겨우 고친 기계로 아이들은 정상의 크기로 돌아오고 무심햇던 두 집은 절친한 사이가 된다 ,comedy
5,사랑은 비를 타고,아마츄어 쇼 코미디언인 돈 록우드               진 켈리 분 와 코스모              도날드 오코너 분 는 공연을 하며 이곳저곳을 떠돌아다니다 뜻대로 되지않자 새 일자리를 얻기위해 헐리우드로 온다  그런데 우연찮게 돈 록우드는 마뉴멘탈 영화사의 스턴트맨역을 따내게 되고 당시 최고의 인기를 누리고 있던 여배우인 리나 레이먼트              쟌 하겐 분 와 함께 다수의 영화에 출연함으로써 단연 스타로 급부상하게 된다  그러나 화려한 영광도 잠시  헐리웃 영화계가 무성영화에서 유성영화 체제로 전환됨으로써 목소리 연기가 너무나 형편없는 리나 레이먼트 때문에 영화를 완전  망치게 된다  그 때문에 돈 록우드와 그의 영화는 완전  인기를 잃게 된다  그러던 중 록우드는 파티장에서 우연  만난 캐시               데비 레이놀즈 분 라는 여자에게 사랑을 느끼게 되고 연극 배우를 꿈꾸는 아름답고 재능있는 캐시에게서 결정적인 도움을 받게 된다  그 도움이란 영화를 새롭게 각색한 뮤지컬  노래하는 기사 를 살리고자 리나의 입을 빌려 캐시의 목소리를 내보내기로 한 것이다  아무것도 모르던 리나는 나중에 사실을 알고 분을 참지 못하고 캐시를 영화계에서 완전  생매장시켜 버리려 한다  하지만 리나는 자기의 비열한 속임수에 자기가 말려들어 많은 관중들 앞에서 모욕을 당하게 되고  캐시와 돈 록우드는 서로에 대한 사랑을 다시 한번 확인하게 된다 ,comedy
6,프란시스 하,브루클린의 작은 아파트에서 둘도 없는 친구 소피와 살고 있는   살 뉴요커 프란시스   무용수로 성공해 뉴욕을 접수하겠다는 거창한 꿈을 꾸지만 현실은 몇 년째 평범한 연습생 신세일 뿐이다   사소한 말다툼 끝에 애인과 헤어지고 믿었던 소피마저 독립을 선언하자 그녀의 일상은 꼬이기 시작한다   직업도  사랑도  우정도 무엇 하나 쉽지 않은 그녀는 과연 당당하게 홀로서기에 성공할 수 있을까     가장 보통의 뉴욕에서 만나는 우리 모두의 이야기가 시작된다 ,comedy
7,피치 퍼펙트: 언프리티 걸즈,전국 팝 아카펠라 대회에서  년 연속 우승의 자리를 지켜오고 있는 전통의 여성 보컬그룹  벨라스   하필이면 대통령 생일파티 축하 공연에서 화려한 퍼포먼스를 펼치던 중 차마 눈뜨고 볼 수 없는 낯 뜨거운 사고를 치고 만다  하루아침에 대학 여신에서 미운 오리 새끼가 된 그녀들은 무너진 명성과 상처 입은 자존심을 회복하려 애쓰지만 그때마다 더 큰 무리수로 외면 받을 뿐이다  해체 위기에 놓인  벨라스 에게 국제대회에서 우승을 하면 다시 노래할 수 있다는 마지막 기회가 주어지는데  과연 그녀들이 준비한 필살기는 무엇일까     전세계를 뒤흔들 그녀들의 폭풍 라이브가 시작된다 ,comedy
8,엘프,크리스마스 이브  고아원에 선물을 전달하러온 산타 할배의 선물 보따리 안에 가득찬 장난감을 보고 엉금엉금 기어들어간 아기가 그대로 북극의 산타 마을로 옮겨져 간다  천진한 아이의 얼굴을 보고 산타와 엘프들은 이 아기를 인간계로 돌려보내야할지 말아야할지 고민을 하는데  노총각 엘프가 자신이 입양하여 키우겠다고 선언한다  파파 엘프의 다정한 보살핌으로 무럭무럭 건강하게 성장한 버디  유난  키가 크고 목소리가 굵어져도 자신이 엘프라는 것을 한번도 의심한 적이 없는 버디는 우연  자신이 인간이라는  진실 을 알게 된다  게다가 산타 할배의  나쁜 어른  리스트에 있는 친아빠의 이름  엘프들의 열렬한 환송을 받으며 초록색 엘프 복장을 쫙  빼입고 친아빠 찾아 신나는 발걸음을 옮기는 버디  유리구슬 속에 있던 것과 똑같은 빌딩 엠파이어 스테이트 빌딩 에서 드디어 아빠를 만난다  그러나 새로 출판해야 할 동화집 때문에 날카로워져 있는 아빠는 버디를 영업사원쯤으로 판단한다  게다가 버디의 존재조차 모르고 있던 상황      검사로 친자확인은 했지만 여전  아빠는 버디를 정신이 이상한 처치곤란의 떨거지라고 생각한다  무미건조한 일상을 보내기는 새엄마와 열 살짜리 이복동생 마이클도 마찬가지  거기에 한 눈에 반한 아름다운 조비도 일상에 지치고 사람을 믿지 않는 상황에서 크리스마스는 하루하루 다가오고    세상에서 최고로 행복하고 사랑이 넘치는 날이어야 할 크리스마스를 우울하게 맞이하고 있는 모든 이에게 버디는 멋진 크리스마스를 선물하려고 애를 쓰는데   ,comedy
9,꼬마 돼지 베이브,주인공인 베이브       크리스틴 카바노프 목소리 분 는 이 세상에 갖 태어난 돼지새끼이다  그는 엄마와 짧은 기간이지만 단란한 생활을 하며 엄마에 대한 정을 키운다  그러나 그도 잠시 엄마는 도살장에 끌려가는 운명을 맞게 되고 베이브는 슬픔의 눈물을 흘린다  허나 멍청한 다른 동물들은 베이브의 엄마를 천국으로 가는 것으로 착각하고 좋아한다  베이브의 슬픔이 가시기도 전에 베이브는 동네 축제의 경품이 되어 하겟씨                 제임스 크롬웰 분 의 새 식구가 된다  새로운 곳에서 생활하며 베이브는 양치기 개인 플라이      미리암 마고리스 목소리 분 와 사귀게 된다  플라이의 남다른 관심과 정성으로 그는 점차 농장생활에 익숙해 진다  어느날 닭이 되고싶어 매일 아침 지붕으로 올라가 닭이 홰치듯 울어대는 엉뚱한 오리 퍼디랜드            대니 만 목소리 분 와 농장 밖으로 나가게 된 베이브는 하겟씨의 양들이 도난 당하는 것을 목격하고 양치기 개인 플라이에게 알려 양들이 도난 당하는 것을 막는 공을 세우게 된다  도둑을 막게 된 것이 베이브 때문인 것을 알게 된 하겟씨는 베이브가 보통 돼지와 다르다는 생각을 하고 베이드에게 집안 출입이란 파격적인 대우를 해준다  그리고 하겟씨는 베이브를 양치기 돼지로 훈련시킨다  베이브는 주인의 기대를 저버리지 않고 훌륭하게 그 임무를 완수한다  그리고 마침내 전국 양몰이 대회에 출전한다 ,comedy
