,title,text,category
25,더 셰프,미슐랭  스타라는 명예와 부를 거머쥔 프랑스 최고의 셰프  아담 존스  브래들리 쿠퍼   모든 것이 완벽해야만 하는 강박증세에 시달리던 그는 괴팍한 성격 탓에 일자리를 잃게 되고 기나긴 슬럼프에 빠지게 된다  하지만 이내 자신의 모든 것을 걸고 마지막 미슐랭  스타에 도전하기로 결심한  아담 은 각 분야 최고의 셰프들을 모으려는 불가능을 실행에 옮기기 위해 런던으로 떠난다  절대 미각의 소스 전문가  스위니  시에나 밀러 와 상위   를 매혹시킨 수셰프  미쉘  오마 사이   화려한 테크닉을 자랑하는 파티시에 맥스  리카르도 스카마르치오 를 포함하여 전폭적인 지원을 아끼지 않는 레스토랑 오너  토니  다니엘 브륄 까지 모두  아담 의 실력만을 믿고 그의 제안을 받아들인다  그러나 주방에 감도는 뜨거운 열기와 압박감은  최강의 셰프 군단 과 완벽을 쫓는  아담  사이의 경쟁심을 극으로 치닫게 만드는데    올 가을  불보다 뜨겁고 칼보다 날카로운 키친 전쟁이 시작된다 ,drama
26,티파니에서 아침을,소매가 치렁한 이브닝 드레스  얼굴을 반이나 가린 검은 안경  그녀는 티파니 보석상을 활보하며 흥미로운 눈빛으로 보석을 바라본다  한 손에 빵을 들고  우아한 몸짓으로 새벽거리를 리드미컬하게 걸어가는 그녀의 이름은 홀리                  오드리 헵번 분   사실 그녀는 택사스 농부의 아내로 어떻게 그녀가 맨하탄에 정착했는지 알 수 없다  가난한 작가인 폴              죠지 페파드 분 은 홀리의 이웃으로 같은 아파트에 살고 있다  그는 부자인 여인의 후원을 받으며 곤욕스러운 애인 노릇을 하던 중  귀엽고 매력적인 홀리에게 점차 호감을 갖게 된다  마음에도 없는 중년 남자가 귀찮게 군다며 한밤 중에 폴의 침대 속으로 들어가 아무렇지도 않게 그의 팔에 안겨 잠드는 그녀의 모습에서  길잃은 고양이를 귀여워하고 무료함을 이기지 못해 아파트 비상 계단에서 기타를 치며             를 흥얼거리는 모습에서  폴은 홀리를 더욱 사랑하게 된다 ,drama
27,NULL,NULL,drama
28,NULL,NULL,drama
29,NULL,NULL,drama
30,NULL,NULL,drama
31,너의 이름은.,꿈 속에서 몸이 뒤바뀐 도시 소년  타키 와 시골 소녀  미츠하   만난 적 없는 두 사람이 만들어가는 기적과 사랑에 관한 이야기  너의 이름은    잊고 싶지 않은 사람 잊으면 안 되는 사람 너의 이름은 ,drama
32,NULL,NULL,drama
33,영웅,어머니  조마리아  나문희 와 가족들을 남겨둔 채 고향을 떠나온 대한제국 의병대장  안중근  정성화    동지들과 함께 네 번째 손가락을 자르는 단지동맹으로 조국 독립의 결의를 다진 안중근은 조선 침략의 원흉인  이토  로부미 를  년 내에 처단하지 못하면 자결하기로 피로 맹세한다   그 약속을 지키기 위해 블라디보스토크를 찾은 안중근  오랜 동지  우덕순  조재윤   명사수  조도선  배정남   독립군 막내  유동하  이현우   독립군을 보살피는 동지  마진주  박진주 와 함께 거사를 준비한다   한편 자신의 정체를 감춘 채 이토  로부미에게 접근해 적진 한복판에서 목숨을 걸고 정보를 수집하던 독립군의 정보원  설희  김고은 는 이토  로부미가 곧 러시아와의 회담을 위해 하얼빈을 찾는다는 일급 기밀을 다급  전한다   드디어     년   월   일  이날만을 기다리던 안중근은 하얼빈역에 도착한 이토  로부미를 향해 주저 없이 방아쇠를 당긴다  현장에서 체포된 그는 전쟁 포로가 아닌 살인의 죄목으로  조선이 아닌 일본 법정에 서게 되는데   누가 죄인인가  누가 영웅인가 ,drama
34,NULL,NULL,drama
