,title,synopsis,category
0,평양성, 황산벌 전투를 기억하시는가  그 후  년  백제를 손안에 넣은 신라가 이번엔 고구려 평양성을 타겟으로 콕  점 찍었다  삼국을한꺼번에 꿀꺽  삼키기위해서는 절대 양보할 수 없는 마지막 보루  그곳이 고구려 평양성 되시겠다   연개소문이 죽는 순간 고구려는 끝난기고  이제부터는 신라와 당나라의 전쟁이 시작된기야   삼국통일의 노른자  고구려의 평양성을 호시탐탐 노리는 능구렁이 야심가가 있었으니  그가바로 신라 김유신이다  한반도 전체를 삼키려는 당나라의 야욕을 알아차리고 조심스럽게 고구려와 연합 작전을 계획  삼국통일을 준비하는 김유신  하지만난데없이 당나라로 망명한 고구려의 정통 후계자 남생 때문에 다 된 밥에 코를 빠뜨리게 된다   아바지  걱정 푸 욱 노시라요  내래 다 쓸어버리가시여   이리저리 민폐만 끼치고 다니는 남생 때문에 속이 뒤집 는 이가 한 명 더 있으니  남생의동생 남건이다  아버지연개소문의 뜻을 받들어  형 남생의 방해공작을 꿋꿋하게 버텨내는 남건  신라의 멀티연합군에 맞서 고구려를 지키기 위해 기상천외한 신무기를 앞세워 평양성을 사수한다   전쟁에서 살아남으려면  줄을 잘 서야한당께 있는 놈  잘난 놈  가진 놈들의 이전투구 속에서도 제 한 목숨 건사하는 것이 유일한 삶의 목표인 남자가 있었으니  그의 이름은 거 시 기  다   년 전 황산벌 전투에서 홀로 살아남은 불사신 거시기가 이번에는 신라군에서 두 번째 군 생활을 하는 불운을 맞게 됐다  그의 전쟁 철학은 잘 싸우는 것이 아니라  줄을 잘 서서 살아남는 것  그 뿐이다  동상이몽  꿍꿍이가 다른 그들이 평양성에서 펼치는  우리가 몰랐던 역사의 뒷 이야기  손 안대고 코 풀고  피 흘리지 않고 승리하기 위한 김유신의 노망난 척  생떼 작렬  미션임파서블 작전이 펼쳐지고  기상천외한 에코무기와 최첨단 신무기로 적들을 교란시키며 고군분투 하는 외로운 카리스마 남건  그 잘난 놈들 틈바구니에서 거시기는 상상초월 전투 중 오매불망 님자 갑순이와 사랑에 빠져 고구려로 국적 세탁까지 감행하려 하는데      년  월  한반도 역사상 가장 기상천외한 전쟁이 시작된다 ,comedy
1,코요테 어글리,  살의 바이올렛                          파이퍼 페라보 분 은 빼어난 미모만큼이나 목소리가 아름답다  그녀의 꿈은  송라이터가 되는 것  아버지의 만류에도 불구하고 뉴욕으로 떠난 바이올렛은 자신이 만든 곡을 들고 음반사를 찾아다닌다  그러나 음반사의 반응은 냉담하기만 하다  용기를 잃어갈 무렵 바이올렛은 여러 명의 미녀들이 바텐더로 일하는  코요테 어글리 란 이름의 바를 발견한다  마련해 온 돈이 바닥나고 앞날이 막막해진 바이올렛은 일자리를 찾아 코요테 어글리를 찾아간다  코요테 어글리의 주인 릴      마리아 벨로 분 은 바이올렛에게 오디션 기회를 준다  그러나 바텐더 경험이 없는 바이올렛은 손님들이 보는 앞에서 실수를 연발한다  노련한 바텐더 캐미         이자벨라 마이코 분 와 레이첼         브리짓 모이나한 분 의 현란한 쇼 앞에서 주눅이 들어버린 바이올렛은 코요테 어글리를 떠나려 한다  그러나 싸움에 휘말린 취객을 노련하게 다루는 바이올렛의 솜씨에 감탄한 릴은 바이올렛에게 바텐더 일자리를 맡긴다  송라이터의 꿈을 떨치지 못하는 바이올렛은 자신이 만든 노래를 직접 발표할 수 잇는 기회를 찾아 난선다  그러나 무대 공포증이 있는 그녀는 결정적인 순간마다 도망치듯 달아난다  그 무렵 바이올렛은 요리사인 케빈                  아담 가르시아 분 을 만난다  순수한 마음씨의 케빈은 그녀에게 각별한 관심과 애정으로 용기를 심어준다  한편 코요테 어글리의 인기는 하늘을 찌를 듯 솟아오른다  경찰과 소방서 직원이 찾아와서 자제를 요청할 정도이다  한편 코요테 어글리의 규정을 어기고 업소에 남자 친구인 케빈을 불러들였다는 이유로 바이올렛은 릴로부터 크게 질타당한다  본개하여 코요테 어글리를 박차고 나온 바이올렛은 이제 모든 미련을 떨쳐버리고 오직 작곡가의 꿈을 향한 집념을 불태운다  케빈은 바이올렛에게 그녀가 만든 노래를 직접 불러볼 수 있는 곳을 소개해준다  그동안 무대에만 서면 떨려서 도망치곤 하던 바이올렛은 가수의 꿈을 이루지 못한 채 운명한 어머니의 아픈 기억을 떠올리며 무대에 올라서는데 ,comedy
2,네이든, 네이든  가끔은 사람들이 너를 이해하지 못할 수도 있어  하지만 그건 네가 특별하기 때문이야   수학에 천재적인 재능을 가진  네이든 에게 세상 누구보다 특별한 존재였던 아빠가 갑작스런 교통사고로 세상을 떠난다  그의 곁에는 아들의 마음의 문을 열기 위해 노력하는 엄마  줄리 와 한때  네이든 처럼 수학 천재였지만 지금은 마음과 몸의 병을 앓고 있는 수학선생  험프리스 가 있다  그들의 애정과 지도로  네이든 은 국제수학올림피아드 영국 대표로 선발돼 대만에서 열리는 합숙 훈련에 참가 기회를 얻는다    이상해요  장메이와 같이 있을 때는 뇌의 작용이 평소와 달라져요   둘이 한 팀을 이뤄 실력을 겨루는 합숙훈련   네이든 은 함께 팀이 된 중국 소녀  장메이 에게서 특별한 감정을 느끼기 시작한다  그것은 그동안 숫자로 세상을 이해한  네이든 에게 수학공식으로도 풀리지 않는 이상한 감정이다  캠브리지대학에서 열리는 국제수학올림피아드 대회 날  시험지를 받아든  네이든 은 아버지의 사고에도 흘리지 않았던 눈물을 왈칵 쏟는데   ,comedy
3,엉클 드류,거리 농구팀의 전설 엉클 드류와 친구들이 노인이 돼 젊은 팀과 경기를 펼치는 스포츠 영화,comedy
4,시라노; 연애조작단,     성공률에 도전하는  시라노 에이전시 는 연애에 서투른 사람들을 대신해 연애를 이루어주는 연애조작단이다  때로는 영화 촬영장을 방불케 하는 조직적인 움직임으로  때로는 비밀 작전 수행처럼 완벽하게 짜여진 각본으로 의뢰인의 사랑을 이루어주는 연애 에이전시  그들의 신조는  음지에서 일하고 양지를 지향 안 한다  이다  그러던 어느 날 에이전시 대표인 병훈 엄태웅 분 과 그의 작전요원 민영 박신혜 분 은 예측불허의 의뢰인 상용 최다니엘 분 을 만나게 되는데   스펙은 최고이나  연애는 꽝인    부족한 스펙남 상용이 사랑에 빠진 여자는 속을 알 수 없는 사랑스런 외모의 희중 이민정 분 이다  의뢰인의 타깃녀 희중의 프로필을 본 순간  고민에 빠진 병훈 ,comedy
5,맥스군 사랑에 빠지다,명문 사립학교 러쉬모어의 졸업반에 재학 중인 맥스 피셔              제이슨 슈왈츠먼 분 는 대단한 학생이다  교내 신문과 학교 연감의 편집장이자  프랑스 클럽  체스 클럽  천문학 클럽의 회장이고  펜싱과 토론회 팀의 팀장이다  또한 맥스 피셔 연극단의 설립자이며  친  극단을 위해 경찰의 부패나 도시의 폭력  전쟁 등을 소재로 한 극본을 쓰고  연출까지 맡고 있다  그의 말에 따르면  하바드 쯤이야 우습게 들어갈 수 있으니까  옥스퍼드에 조기 입학을 신청해 놓은 상태다  그렇지만  동시에 그는 가장 형편없는 학생이기도 하다  화려한 과외활동 뒤에는 바닥을 기는 교과 성적이 있고  친구라고 할 만한 사람은 꼬맹이 더크                메이슨 갬블 분  뿐이다  부잣집 자제가 득시글거리는 러쉬모어에선 드물게 홀아비 이발사를 아버지로 둔 학생이기도 하다  이런 맥스가 지나칠 정도로 과외활동에 집착하는 것은 러쉬모어를 너무나 자랑스럽게 여기고  사랑하기 때문이다  그런데  맥스가 러쉬모어를 한층 더 사랑해야 할 이유가 생겼다  그에게 진짜 사랑을 가져다 준 것이다  상대는 러쉬모어의 초등학생을 가르치는 크로스 선생님                 올리비아 윌리암스 분   물론 그녀는 맥스를 좀 색다른 학생으로만 생각할 뿐 전혀 남자로서 취급하지 않지만  맥스는 크로스 선생님의 사랑을 얻기 위해 모든 수단을 동원한다  심지어는 학교 내에 그녀의 이름을 기리는 수족관을 건립하겠다고 나서기에 이른다  수족관 건설 기금 마련을 위해 맥스는 블룸씨               빌 머레이 분 를 찾아간다  자신의 쌍둥이 아들을 러쉬모어에 보내고 있는 블룸은 철강 재벌로  러쉬모어를 위해서 상당한 액수의 기부금을 내고 있었다  맥스의 열의에 반했는지  블룸은 얼마간의 돈을 선뜻 내주었고  이후 두 사람은 친구가 된다  하지만  문제는 지금부터  수족관을 세우려는 맥스의 계획에 크로스 선생님은 전혀 감동하지 않았을 뿐더러  같은 편이라고 꽉 믿고 있던 블룸이 오 려 크로스 선생님과 사랑에 빠진 것이다  게다가  현재 야구장이 위치한 곳에 수족관을 세우려는 계획 때문에 학교에서는 퇴학 명령을 받기 일보 직전에 놓인 것이다  어제의 친구가 오늘의 적이 되었다  블룸은 맥스의 자전거를 망가뜨리고  맥스는 블룸의 차를 망가뜨리고  블룸은 맥스를 고소하고  맥스는 블룸의 부인에게 그의 외도를 일러바쳤다  그런데 맥스가 이토록 심통을 부린 게 우스울 정도로 크로스 선생과 블룸은 쉽게 헤어져버린다  크로스 선생님이 죽은 남편을 잊지 못하기 때문이었다  동병상련이랄까  한동안 실의에 빠져있던 맥스는 블룸의 어려운 사정을 듣고서 다시 재기한다  우선  블룸과의 우정을 회복하고  이번엔 블룸의 친구로서 그의 사랑을 도와주기로 한다  수족관 건축을 완성하고  죽은 자신의 엄마와 역시 죽은 크로스 선생님의 남편에게 바치는 연극을 새로이 무대에 올린다  그리고 연극이 상영되던 날  맥스와 블룸  크로스 선생님을 비롯하여 참석한 모든 사람들은 서로 얽혔던 감정과 갈등을 풀고 화해의 기쁨을 나눈다 ,comedy
6,나의 사랑 나의 신부,대학을 졸업하고 작가를 꿈꾸며 출판회사에서 일하는 샐러리맨 영민 박중훈 분 은 대학 동창생인 미영 최진실 분 과 사랑하는 연인 사이다  그리고 이들은 서로 사랑한다 믿고 결혼을 한다  미영은 신혼 첫 날 밤의 불안함과 공연한 슬픔 때문에 영민을 호텔 방문 앞에 세워놓고 문을 잠궈 버리기도 하고  영민의 도시락밥 위에 콩자반으로             를 새겨 넣는 등 해프닝의 연속인 달콤하고 행복한 신혼을 즐긴다  어설프고도 행복한 신혼 생활을 시작한 이들 젊은 부부는 사랑의 모습을 확인하며 행복함을 맞는다  그러나 영화를 보러 만나기로 했던 미영이 옛 직장 상사와 우연  만난 것을 본 영민은 옛애인이라고 오해한다  이 때문에 질투를 느껴  미영이 친정에 가 집을 비운 사이에 선배인 최작가를 유혹하기도 한다  모든 잘잘못과 유치함을 사랑이란 단어로 대체되는 신혼 시절이 서서  지나가면서 이들은 하찮은 일로 다투고 오해와 질투는 싸여 간다  미영은 얼굴에서 문득 발견된 기미 한 점  외국에서 부쳐진 옛 남자 친구의 편지를 받고 낯선 도시로 외출을 감행하기도 한다  결혼과 함께 완전  정리했다고 생각한 지난 날의 추억들이 새삼 향수처럼 그리움으로 되살아나고 남자와 여자는 각자의 굴레에 빠져들어 둘 사이엔 야릇한 감정의 벽이 생긴다  극을 향해 치딛는 두 사람은 치열하게 싸우면서 결혼이란 생활 방식을 이어간다  한 이부자리 속에서 서로 다른 꿈을 꾸면서도 서로가 사랑한다고 굳게 믿고 있다  그러나 영민은 영민대로 결혼 생활이 주는 속박감에서 자유를 꿈꾸고 미영은 작가로서의 영민의 지위가 상승하면 할 수록 심한 열등감과 소외감을 느낀다  어느날 미영이 급성 맹장염에 걸려 병원으로 실려가는데 영민은 이때 이것을 모르고 죽을 병에 걸린 것 양 미영에게 그 동안 잘못 대했던 것을 후회한다  하지만 맹장염이라는 것을 알게 된 영민은 또다시 그 일 이전의 생각으로 돌아간다  집에 돌아와 혼자 방 안에서 글을 쓰던 영민은 문득 혼자의 쓸쓸함과 함께 미영의 존재를 깨닫고 미영의 임원실로 달려간다  그리고 세월이 흐른 뒤 영민은 그들의 젊은 날들을 회고한다  그 해 겨울 이후에도 아내와 난 줄곧 싸웠고 사랑한다는 말을 수 없이 반복했다  그러나 어린 날 허공으로 쏜 화살이 오랜 시간이 흐른 뒤 친구의 가슴에서 찾아지듯  아직 사랑을 알 지 못했다  과연 오랜 시간이 흐른다면 그 때 이 사랑이 무엇인지 알 수 있을까 ,comedy
7,수상한 그녀,아들 자랑이 유일한 낙인 욕쟁이 칠순 할매 오말순 나문희  은 어느 날  가족들이 자신을 요양원으로 독립   시키려 한다는 청천벽력 같은 사실을 알게 된다  뒤숭숭한 마음을 안고 밤길을 방황하던 할매 말순은 오묘한 불빛에 이끌려  청춘 사진관 으로 들어간다  난생 처음 곱게 꽃단장을 하고 영정사진을 찍고 나오는 길  그녀는 버스 차창 밖에 비친 자신의 얼굴을 보고 경악을 금치 못한다  오드리 헵번처럼 뽀얀 피부  날렵한 몸매    주름진 할매에서 탱탱한 꽃처녀의 몸으로 돌아간 것  아무도 알아보지 못하는 자신의 젊은 모습에 그녀는 스무살  오두리 가 되어 빛나는 전성기를 즐겨 보기로 마음 먹는데         년 새해  대한민국에 웃음 보따리를 안겨줄  수상한 그녀 가 온다 ,comedy
8,라이터를 켜라,오늘은 예비군 훈련 받는 날  나이 서른에 부모님 김인문 김지영   분  호주머니 돈을 몰래 빌리는    철없는 백수 허봉구 김승우 분   오늘은 천성이 착해 늘 손해보기 일쑤인 그가 예비군 훈련을 받는 날이다  아침에 갖고 나온 돈은 운수 없이 바닥 나고 마지막으로 남은 돈    원은 라이터를 사버렸다  차비도 없어 목적지도 아닌 서울역까지 택시를 얻어 타고 온 허봉구  막상 담배를 피려고 보니 라이터가 없다  화장실에 두고 온 걸 깨닫고 찾아보지만 흔적도 없이 사라진 후  아까부터 마주쳤던 한 사나이의 얼굴이 스친다  그는 다름아닌 폼생폼사 건달보스 양철곤 차승원 분    저    그 라이터 제 껀데요     라이터 얘기를 꺼냈다가 그 철곤 일당에게 철저하게 무시당하는 허봉구  늘 이리치이고 저리 이치던 허봉구의 마지막 자존심이 바닥을 치는 순간  이대로는 도저  물러설 수가 없다  오직 라이터를 찾겠다는 생각뿐인 그가 철곤 일당을 쫓아 급기야 부산행 기차까지 타게 되는데    영문을 모르는 폼생폼사 건달보스 철곤  박용갑 국회의원 박영규 분 의 선거를 도왔으나 그 대가를 받지 못해 심기가 불편하다  오리발을 내미는 박의원을 쫓아 부산행 기차를 타지만 박의원 또한 강경하다  마침내  극단적인 철곤의 결단으로 박의원과 자폭을 결심한 철곤 일당은 기차를 점령하고  기차 안은 순식간에 아수라장이 된다  이때  인질로 잡  기차 승객들 사이를 성큼성큼 비집고 나와 철곤을 향해 대드는 자가 있었으니 그 이름 허봉구  그의 요구안은 단 한가지  내 라이터 내놔    부산까지 정차없이 전속력으로 폭주  대형참사로 치닫는 기차에서 허봉구    양철곤 지상 최대의 혈투가 벌어지게 된다  눈 앞에 보이는 거라곤 라이터 밖에 없는 허봉구  공포에 질린 승객들의 열렬한 지지를 받으며 예상치 못한 작전으로 철곤 일행을 곤경에 빠트리고  폭주하는 기차를 바라보며 속수무책인 경찰들을 놀라게 하는데 ,comedy
9,NULL,NULL,comedy
