,title,synopsis,category
0,NULL,NULL,horror
1,쥬라기 공원 2 - 잃어버린 세계,쥬라기 공원이 사고로 인해 폐쇄된지  년여  무언가 살아남은 것이 있었다  과거     추출로 공룡을 부활시켰던 해먼드               리차드 어텐보로 분 는 쥬라기 공원이 폐쇄된 후에도 그 섬에서 조금 떨어져있는  이슬라 소르나 섬의    구역 이라는 공룡 생산 공장을 두고 생존해 있는 공룡들을 자연 그대로 인간의 손길이 닿지 않은 상태에서 관찰을 하고 있었다  해먼드 박사가 속해있는 인젠사       의 회장은 서식지에 대한 철저한 보고를 통해 공룡들에 대한 상황을 파악하면서  이  구역에 서식하고 있는 공룡들을 포획해 캘리포니아의 샌디애고에 제 의 쥬라기공원을 세울 계획을 하고 있었다  휴양을 떠났던 관광객들이 어느날 공룡의 습격으로 사고를 당하면서  이 섬에 관심이 집중된다  해먼드에 의해    구역 에 공룡생산공장이 있다는 놀라운 소식을 들은 말콤 박사                  제프 골드브럼 분 는 사고 탐사 목적으로 파견된 여자 친구 사라 박사                    줄리안 무어 분 를 찾기위해 섬으로 떠난다  말콤 박사는 이 섬에 새로운 음모가 도사리고 있음을 알게 된다  인젠사의 회장이 보낸 공룡 사냥꾼들이 공룡 사냥을 위해 섬을 휘젓고 있었던 것이다  말콤 박사 일행은 이들의 계획을 저지하기 이해 잡아놓은 공룡들을 풀어주지만 오 려 성난 공룡들의 습격을 받게 된다  공룡 사냥꾼들과 공룡들의 쫓고 쫓기는 혈투 속에서 많은 사람들이 공룡들에 의해 희생되고  랩터에 의해 쫓기던 말콤 박사 일행은 과거 쥬라기 공원의 잔재가 있었던 통제실에 무전시설이 있음을 알고 헬기구조 요청을 하게 된다  말콤 박사는 잔인한 랩터들의 추격을 뿌리치고 천신만고 끝에 섬을 무사  떠난다  그러나 섬에 여전  남아있는 공룡 사냥꾼들은 마지막까지 포기를 하지않고 공룡을 생포하여  마침내 티라노 사우로스를 실은 거대한 운반선이 샌디애고 항구에 도착하게 되는데   스포일러  공룡의 도착을 기다리고 있던 인젠사의 회장은 역사적인 사건의 기대에 부풀어 만반의 환영준비를 하지만 공룡을 실은 거대한 화물선은 선착장의 통제를 무시하고 항구를 덮쳐버린다  아수라장이 되어버린 화물선이 선상에는 이미 공룡에 의해 습격을 받은 승무원들의 조각난 몸체만이 뒹굴로 있었다  선상의 우리를 탈출한 티라노는 시내 한복판을 질주하면서 도시전체를 공포의 도가니로 몰아넣는다  말콤 박사와 사라 박사는 새끼를 이용  티라노를 다시 항구로 유인하고 배의 화물에 두 공룡을 가두는 데 성공하지만  아직도 욕심을 버리지 못한 인젠사의 회장은 티라노에 의해 비참한 최후를 맞이한다  많은 희생 끝에 두 공룡은 무사  자신들의 서식지인  이슬라 소르나  섬으로 보내지고  해먼드는   인터뷰를 통해  인간은 관찰자로서 자연의 자생력을 믿고 이들을 지켜봐야 한다 면서 공룡들의 세계에 인간들의 접근을 막아야 한다고 호소한다  이 섬은 세계 유일의 공룡 낙원으로 존재하면서 잃어버린 세계의 생물들이 사는 서식지로 남게 된다 ,horror
2,NULL,NULL,horror
3,NULL,NULL,horror
4,손님,    년대의 어느 날  떠돌이 악사 우룡 류승룡 과 영남 구승현  부자는 서울로 가던 길에 우연  지도에도 나오지 않는 산골 마을에 들어선다  시끄러운 바깥세상과 달리 촌장 이성민 의 강력한 지도 아래 모든 게 평화롭고 풍족한 마을이지만 단 하나  시도 때도 없이 출몰하는 쥐떼들이 골칫거리다  마을의 골칫거리인 쥐떼를 쫓아주면 목숨보다 소중한 아들  영남이의 폐병을 고칠 목돈을 준다는 약속을 믿고 우룡은 피리를 불어 쥐떼를 쫓아낸다  하지만 그 날 이후  마을의 비밀이 하나씩 드러나기 시작하면서 우룡과 마을 사람들은 설명할 수 없는 이상한 사건에 휘말리게 되는데    부르지 않은 손님이 온 그 날 이후  너희들은 어떻게 될까 ,horror
5,NULL,NULL,horror
6,47 미터,멕시코의 태평양 연안에서 특별한 휴가를 맞은  리사 와  케이트   잊을 수 없는 추억을 만들기 위해 익스트림 스포츠인 상어 체험 샤크 케이지 에 도전한다  하지만 즐거움도 잠시  자매가 올라 탄 케이지는 알 수 없는 사고로 순식간에 심해   미터까지 추락하고 만다   무시무시한 식인 상어 무리에 둘러싸인  샤크 케이지  속에서 산소 탱크로 버틸 수 있는 시간은 단   분 ,horror
7,NULL,NULL,horror
8,NULL,NULL,horror
9,글렌게리 글렌 로스,레빈                 잭 레몬 분 과 모스            에드 해리스 분   에르노우                 알란 아킨 분  그리고 로마             알 파치노 분 는 시카고에 있는 부동산 중개업소의 중개업자들이다  로마는 최근에 실적을 가장 많이 올리는 판매  위의 판매원이지만 나머지들은 거의 성사시키지 못하고 곤경에 빠져있는 판매사원들이다  특  레빈은 왕년에는 글렌로스 농장을 멋지게 팔아치워 상품으로 자동차를 타기도 했으나 요즘은 계속 실패만 거듭하고 게다가 딸아이의 병원비 부담으로 경제적으로 최악의 상태이다  또 본부에서 그들에게 주는 손님 명단도 재력도 없고  여유도 없는 쓸모없는 손님명단만 주어진다  그들 모두는 새로운 명단인 글렌게리를 받기를 희망하나 사무실장인 존                  케빈 스페이시 분 은 그들의 소망을 일측하고 판매전략 회의를 개최한다  그 회의에서 본부로부터 파견된 상관은 그들을 비난하고 이번에도 실적을 올리지 못하면 해고라고 선언한다  레빈은 윌리암스에게 자신이 단지 슬럼프에 빠져 있을 뿐이므로 도와달라고 말하고 새 명단을 뇌물로 인수했으나 선불을 요구하여 실패로 끝난다  한편  모스와 자신들을 마구 취급하는 판매본부에 복수도 하고 돈도 벌기위해 글렌게리를 훔쳐내자고 제의하나 에로노우는 거절한다  그날 밤 노마는 보기좋게 글렌게리 노원을 팔고 수표와 계약서를 사무실에 넘기고 퇴근하나  그 다음날 아침 사무실에 도둑이 들었다는 것을 알고 아연실색한다  경찰이 사무실로 들이 닥치고 하나씩 심문을 받는다 ,horror
