,title,synopsis,category
0,임금님의 사건수첩,모든 사건은 직접 파헤쳐야 직성이 풀리는 총명한 왕  예종  이선균   그를 보좌하기 위해 학식  가문  외모   는 물론 한 번 본 것은 절대 잊지 않는 비상한 재주까지 겸비한 신입사관  이서 가 임명된다  하지만 의욕과 달리 어리바리한 행동을 일삼던 이서는 예종의 따가운 눈총을 한 몸에 받으며 고된 궁궐 생활을 시작한다   때마침 한양에 괴이한 소문이 돌기 시작하고  예종은 모든 소문과 사건이 심상치 않음을 직감한다  예종과 이서는 모든 과학적 지식과 견문을 총동원  괴소문의 실체를 파헤치기 위해 나서는데    사건 쫓는 임금   임금 쫓는 신입사관 궁 넘고 담 넘는 유쾌한 과학수사가 시작된다 ,comedy
1,"심슨 가족, 더 무비",평화로운 마을 스프링필드  호머  마지  바트  리사  매기 심슨 가족은 매일매일 사건사고 속에도 나름    행복하게 살아간다  바트와 함께 간 식당에서 우연  새끼돼지와 운명적인 사랑에 빠진 호머 심슨  그러나 이 돼지  변을 너무 많이 싼다  돼지 변을 버리러 나간 호머  도넛을 공짜로 준다는 말에 정신을 잃고 그만 돼지변을 호수에 버리고 마는 데  사건은 이제부터 커진다  천 개의 눈을 가진 물고기가 생겨나고  돌연변이 개구리가 스프링필드를 휘젓고 다니고  스프링필드마저 호수로 인해 오염된다  슈왈제너거 대통령은 스프링필드 봉쇄 명령을 내리고  스프링필드를 커다란 돔 안에 가둬버린다  하지만 심슨가족은 알래스카로 튀어버렸다  호머  스프링필드를 이대로 놔둘 셈이야  스프링필드를 구해줘  호머 심슨  ,comedy
2,에반 올마이티,새 집  새 자동차  하원의원 선거 당선까지  막  없이 일이 술술 풀리던 에반 스티브 카렐 앞에 갑자기 신 모건 프리먼 이 나타나 워싱턴 한가운데 거대한 방주를 지으라는 미션을 내린다  망치질 한번 해본 적 없던 에반은 코웃음을 치며 이를 무시하지만  방주를 만들 재료가 속속 배달 되어 오고  수백 마리의 동물들이 쌍쌍이 그를 따라 다니기까지 한다  그의 평화로웠던 삶이 방해 받기 시작하며  일도 가족도 그의 생활이 모두 엉망이 된다  과연 에반은 신이 내린 이 시련   을 어떻게 해결 할 수 있을 것인가 ,comedy
3,NULL,NULL,comedy
4,투 윅스 노티스,뉴욕에서 가장 잘 나가는 부동산 재벌  웨이드 주식회사 의 최고 보스  조지 웨이드 휴 그랜트 분   부족할 것 없는 백만장자인 그에게 단 한가지 단점이 있다면  바로 젊고 예쁜 여자라면 능력과는 상관없이 무조건 고문변호사로 채용해 이상야릇한 스캔들을 만들어내는 점  상황이 이렇다 보니 능력없는 변호사 덕분에 비즈니스는 금전적인 손실을 거듭하고 보다못한 조지의 형이자 회사의 숨은 브레인  하워드가 극단의 조치를 내리게 된다  최고로 유능한 변호사를 고용하거나  스톡 옵션을 포기하라는 것  한편 시민회관을 허물고 콘도를 세우려는 웨이드 사의 새로운 프로젝트를 막기 위해 동분서주하고 있는 하버드 출신의 유능한 환경 문제 전문 변호사  루시 켈슨 산드라 블록   직접 웨이드 사의 회장을 만나 담판을 짓겠다는 생각에 조지를 만나지만  그는 엉뚱하게도 자신의 고문 변호사가 되어달라는 제안을 한다  루시는 전혀 그럴 생각이 없다며 강력하게 사양하지만  조지는 루시를 채용키위해 시민회관을 부수지 않겠으며 회사의 기금을 자선사업에 쓰겠다는 약속을 한다  하지만  루시는 시도때도 없이 징징대며 긴급전화를 해대는 조지 때문에 결혼식 들러리를 서다가도 뛰쳐나가 조지의 넥타이를 골라주고  새벽에도 자다 일어나 여자문제를 상담해주는 등 개인비서로 전락하고 만다  참다 못한 루시는 이제 조지에게  주간의 여유를 줄 테니 다른 사람을 구하라고 최후통첩을 던진다  결국 루시는 자신을 대신할 인물 탐색에 나서지만  여성적인 매력이 넘쳐나는 뉴페이스는 조지의 환심을 사 정식 면접을 거치기도 전에 채용되고 루시는 다시 무료변론 등으로 바쁘게 지낸다  하지만 자신만의 일상으로 돌아온 루시는 조지의 빈자리에 허전함을 느끼고  조지 또한 매력적인 뉴페이스를 옆에 두고도 가장 솔직하던 루시에 대한 상실감에 빠지게 된다  미워할 수 없는 백만장자 조지와 말괄량이 터프걸 루시  두 사람의 관계는 이대로 끝나버리는 것일까   ,comedy
5,라디오 스타,명곡 비와 당신으로   년 가수 왕을 차지했던 최곤은 그 후 대마초 사건  폭행사건 등에 연루돼 이제는 불륜커플을 상대로 미사리 까페촌에서 기타를 튕기고 있는 신세지만  아직도 자신이 스타라고 굳게 믿고 있다  조용하나 싶더니 까페 손님과 시비가 붙은 최곤은 급기야 유치장 신세까지 지게 되는데  일편단심 매니저 박민수는 합의금을 찾아 다니던 중 지인인 방송국 국장을 만나고  최곤이 영월에서   를 하면 합의금을 내준다는 약속을 받아낸다  프로그램 명 최곤의 오후의 희망곡 하지만   자리를 우습게 여기는 최곤은 선곡 무시는 기본  막무가내 방송도 모자라 부스 안으로 커피까지 배달시킨다  피디와 지국장마저 두 손 두발 다 들게 만드는 방송이 계속되던 어느 날  최곤은 커피 배달 온 청록 다방 김양을 즉석 게스트로 등장시키고 그녀의 사연이 많은 이들의 심금을 울리며 방송은 점차 주민들의 호응을 얻는다  그러나 성공에는 또 다른 대가가 있는 법   ,comedy
6,서유기 : 모험의 시작(광둥어 더빙),심마에 사로잡혀 사람을 잡아먹는 요괴로 인해 어지러운 세상  구마대전의 후예로 선택된 진현장 문장 은 동요    수를 가지고 요괴를 구제하기 위해 길을 나선다  진  선  미를 통해 요괴의 마음에서 심마를 몰아내야 한다는 가르침에 따라 퇴마를 시도하지만 번번이 실패하고야 마는 진현장  어느 날  물고기 요괴를 퇴치하기 위해 찾은 시골마을에서 퇴마사 단소저 서기 를 만나 도움을 받게 되고  그녀와 함께 요괴를 퇴치하는 과정에서 본인의 수행이 부족했음을 깨닫게 된다  요괴 중 왕중지왕으로 불리는 손오공 황보 을 찾아가라는 스승의 명령에 따라 진현장은 동요    수를 손에든 채 모험을 떠나게 되는데 ,comedy
7,바그다드 카페,황량한 사막 한가운데 자리 잡은 초라한  바그다드 카페   커피머신은 고장난지 오래고  먼지투성이 카페의 손님은 사막을 지나치는 트럭 운전사들 뿐이다  무능하고 게으른 남편을 쫓아낸 카페 주인  브렌다  앞에  남편에게 버림받은 육중한 몸매의  야스민 이 찾아온다  최악의 상황에서 만난 두 사람  모든 것이 불편하기만 한 낯선 동거  그러나 곧 야스민의 작은 마법으로 그녀들의 관계는 전환점을 맞이한다  행복해지려는 노력  꾸밈없는 미소  자신의 가장 아름다운 모습을 발견해가는 소중한 시간들  아무런 희망이 보이지 않던  바그다드 카페 도 두 사람의 마법으로 따스하고 행복한 시간이 깃들게 되는데     황량한 사막에서 일어난 마법 같은 기적  당신의 삶을 위로할 가장 아름다운 뮤직바이블이 찾아옵니다              ,comedy
8,라이더스 오브 저스티스,가족과 떨어진 채 지내던 현직 군인 마르쿠스 매즈 미켈슨 는 열차 사고로 갑작스럽게 아내를 잃고 실의에 빠져있던 중  아내의 죽음에 얽  사고가 계획된 범죄였음을 알게 된다  분노가 폭발한 마르쿠스는 범인들을 뒤쫓아 목숨을 건 추격전을 시작하고 자신만의 잔혹한 정의로 그들을 심판하기로 하는데 ,comedy
9,우아한 세계, 과장    부장 이라는 직급 대신   형님 소리를 듣는 남다른 직업을 가졌지만  가족 사랑만은 남다르지 않은 대한민국 가장  강인구  송강호   오늘도 그는 공기 좋은 전원주택에서 가족들과 우아하게 살고 싶은 소망을 이루기 위해 조직 일도 열심  아빠 역할도 소홀  할 수 없다  그러나 하루가 멀다 하고 조직 일을 그만두라는 가족들의 냉대와 조직의  인자 노상무와의 껄끄러운 관계는 그의 인생을 전혀 우아하지 못한 곳으로 끌어 내리는데   ,comedy
10,수퍼 소닉(부가영상 제공),소리보다 빠른 초고속 고슴도치  어로  소닉 은 지구에 불시착한다  그의 특별한 능력을 감지한 과학자  닥터 로보트닉 은 세계 정복의 야욕을 채우려 하고  경찰관  톰 은 위험에 빠진  소닉 을 돕기 위해 나서는데   과연   소닉 은 천재 악당에 맞서 지구를 지킬 수 있을까 ,comedy
11,레고 무비2(패키지상품 : 더빙판 추가증정),시스타 행성의 지멋대로 여왕의 지시로 듀플로 외계인들이 레고 마을을 침공한다  어마무시 장군이 친구들을 납치하자 에밋은 우주로의 여행을 떠나는데  에밋과 친구들의 대모험  이번엔 우주다  준비됐나요 ,comedy
